企业名称,来源,抓取时间,产业链环节,所在城市,企业类型
深圳市溯原科技有限公司,深圳市半导体行业协会,2026-05-08,,,
辰芯半导体（深圳）有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳市常兴技术股份有限公司,深圳市半导体行业协会,2026-05-08,,,
广东宏展科技有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳市中芯供应链有限公司,深圳市半导体行业协会,2026-05-08,,,
杭州加速科技有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳市大为创芯微电子科技有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳市晶特利微电子有限公司,深圳市半导体行业协会,2026-05-08,,,
金动力智能科技（深圳）有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳市兆芯微电子有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳市机芯智能有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳芯佰特微电子有限公司,深圳市半导体行业协会,2026-05-08,,,
灵矽微电子（深圳）有限责任公司,深圳市半导体行业协会,2026-05-08,,,
东莞市晟鼎精密仪器有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳市商德先进陶瓷股份有限公司,深圳市半导体行业协会,2026-05-08,,,
东科半导体科技（深圳)有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳云豹智能有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳市大族封测科技股份有限公司,深圳市半导体行业协会,2026-05-08,,,
上海速石信息科技有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳宝轮科技有限公司,深圳市半导体行业协会,2026-05-08,,,
瞬曜电子科技（上海）有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳市稳先微电子有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳芯典半导体科技有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳市嘉合劲威电子科技有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳市金旺鑫半导体科技有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳赛宝工业技术研究院有限公司,深圳市半导体行业协会,2026-05-08,,,
东莞六鼎智能科技有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳市矽昊智能科技有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳市时代速信科技有限公司,深圳市半导体行业协会,2026-05-08,,,
深圳市芯通康科技有限公司,深圳市半导体行业协会,2026-05-08,,,
广州广电计量检测股份有限公司,深圳市半导体行业协会,2026-05-08,,,
Copyright © 2002-2024 深圳市半导体行业协会 All Rights Reserved.粤ICP备2020090782号,深圳市半导体行业协会,2026-05-08,,,
粤芯半导体技术股份有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,晶圆制造,广州,民企
增芯科技有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,晶圆制造,广州,民企
芯粤能半导体有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,SiC制造,广州,民企
芯聚能半导体有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,功率模块,广州,民企
广纳芯科技有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,5G滤波器/材料,广州,民企
泰斗微电子科技有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,IC设计/导航,广州,民企
安凯微电子股份有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,IC设计,广州,民企
高云半导体科技股份有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,FPGA/IC设计,广州,民企
全志科技股份有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,IC设计,珠海,民企
英诺赛科（珠海）科技有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,GaN/IDM,珠海,民企
炬芯科技股份有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,IC设计,珠海,民企
珠海艾派克微电子有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,IC设计,珠海,民企
鼎泰芯源晶体有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,半导体材料,珠海,民企
迈为技术（珠海）有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,半导体设备,珠海,民企
天域半导体股份有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,SiC外延,东莞,民企
广东先导稀材股份有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,半导体材料,东莞,民企
佛山市国星光电股份有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,LED/光电器件,佛山,国企/广晟
佛山华芯微电子有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,IC设计,佛山,民企
中山市汉仁电子有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,IC设计,中山,民企
惠州市芯片科技发展有限公司,静态数据-中商产业研究院/新闻报道/行业协会公开信息,2026-05-08,IC设计,惠州,民企
